,Sr.No,PIC,Name of Dam,Operated & Maintained by,Latitude,Longitude,Year of Completion,River Basin,River,Neareast City,Seismic Zone,Dam Type,Height above Lowest Foundation Level,Dam Length,Volume Content of Dam,Gross Storage Capacity,Reservoir Area,Effective Storage Capacity,Purpose,Designed Spillway Capacity
0,1,AN15HH0001,DHANIKHARI,Andaman and Nicobar Islands Water Resources Department,"11° 34 ' 19""","92° 40 ' 35""",1973,Drainage area of Andaman and Nicobar Islands,Dhanikhari,Port Blair,V,Other,37.25,132,,5193.8,611.524,4369.8,S,225
1,2,AN15HH0002,KALPONG,Andaman and Nicobar Islands Water Resources Department,"13° 9 ' 35""","92° 58 ' 10""",2001,Drainage area of Andaman and Nicobar Islands,Kalpong,Diglipur,V,Other,31.5,139,,15270000,1840000,14241000,H,405
2,1,AP01MH0001,Cumbhum,Andhra Pradesh Water Resources Department,"15° 34 ' 38""","79° 4 ' 51""",1500,East flowing rivers between Krishna and Pennar,Gundlakama,Giddalur,II,Earthfill_Embankment ,15.38,295.65,,105350000,23950000,95650000,I,113
3,2,AP01LH0002,Dondapadu tank,Andhra Pradesh Water Resources Department,"16° 32 ' 36""","80° 27 ' 9""",1910,East flowing rivers between Krishna and Pennar,krishna,Vinukonda,II,Earthfill_Embankment ,10.3,720,0,7263000,2640000,6537000,I,210
4,3,AP01MH0003,Siddapuram Tank,Andhra Pradesh Water Resources Department,"15° 51 ' 37""","78° 41 ' 28""",1919,Krishna,Bhavana,Kurnool,II,Earthfill_Embankment ,19,4904,0,24740000,,24740000,I,492
5,4,AP01MH0004,Mopad Reservoir,Andhra Pradesh Water Resources Department,"15° 6 ' 25""","79° 28 ' 51""",1921,East flowing rivers between Krishna and Pennar,Manneru,Kanigiri,II,Earthfill_Embankment ,28,2630,401000,61000000,13073000,59216000,I,1923
6,5,AP01LH0005,Thippayapalem Tank,Andhra Pradesh Water Resources Department,"15° 41 ' 26""","79° 9 ' 59""",1938,East flowing rivers between Krishna and Pennar,Gundlakama,Marakapur,II,Other,10,,,5125000,,5125000,I,
7,6,AP01LH0006,Markapur Tank,Andhra Pradesh Water Resources Department,"15° 43 ' 54""","79° 16 ' 40""",1945,East flowing rivers between Krishna and Pennar,Mondivagu,Ongole,II,Earthfill_Embankment ,10,1569,0,6173000,,5103000,I,75
8,7,AP01LH0007,"Owk Reservoir complex (Palair, Gollaleru,Timmaraju)",Andhra Pradesh Water Resources Department,"15° 11 ' 3""","78° 5 ' 49""",1946,Pennar,Paleru,Banaganpalli,II,Earthfill_Embankment ,10.15,622,,3514286,808270000,2460000,I,128
9,8,AP01LH0008,Gambhiramgedda Reservoir,Andhra Pradesh Water Resources Department,"17° 52 ' 29""","83° 21 ' 6""",1957,East Flowing Rivers between Mahanadi and Godavari,Gambhiramgedda,Bheemunipatnam,II,Earthfill_Embankment ,13,369,173000,3180000,799000,3158000,I,550
10,9,AP01MH0009,Prakasam Barrage,Andhra Pradesh Water Resources Department,"16° 30 ' 38""","80° 36 ' 16""",1957,Krishna,Krishna,Vijayawada,II,Other,22.25,1233,0,86961036,30000000,86961036,I,33697
11,10,AP01MH0010,Nakkalagandi,Andhra Pradesh Water Resources Department,"15° 3 ' 28""","79° 22 ' 29""",1958,East flowing rivers between Krishna and Pennar,Uppuvagu,Udayagiri,II,Earthfill_Embankment ,15,354,875000,4729000,,,I,340
12,11,AP01MH0011,Upper Pennar,Andhra Pradesh Water Resources Department,"14° 21 ' 4""","77° 21 ' 8""",1959,Pennar,Pennar,Dharmavaram,II,Earthfill_Embankment ,16.74,3505,594000,51282000,7917000,44570716,I,339.5
13,12,AP01MH0012,Lower Sagileru Project,Andhra Pradesh Water Resources Department,"14° 57 ' 13""","78° 56 ' 54""",1959,Pennar,Sagileru,Badvel,II,Other,22.91,1905,0,7300000,2850,,I,1586
14,13,AP01LH0013,Rallapadu Project,Andhra Pradesh Water Resources Department,"15° 3 ' 14""","79° 43 ' 6""",1958,East flowing rivers between Krishna and Pennar,Manneru,Rallapadu,III,Earthfill_Embankment ,13.85,2951,,31318000,7067000,30830000,I,3426
15,14,AP01MH0015,Kalangi Reservoir,Andhra Pradesh Water Resources Department,"13° 36 ' 28""","79° 47 ' 42""",1960,East flowing rivers between Pennar and Cauvery Basin,Kalangi,Srikalahasti,III,Earthfill_Embankment ,18,3977,0,6971000,2649000,6830000,I,1389
16,15,AP01MH0016,Pincha Project,Andhra Pradesh Water Resources Department,"13° 54 ' 32""","78° 59 ' 59""",1960,Pennar,Pincha,Rayachoti,II,Other,21,486,150000,9284000,2048000,9131000,I,1644
17,16,AP01MH0017,"Siddlagandi Project, Kotakadapalle (V)",Andhra Pradesh Water Resources Department,"13° 49 ' 54""","79° 8 ' 24""",1959,Pennar,Talakona,Vayalpad,III,Earthfill_Embankment ,12,1795,,2031000,247000,1000000,I,66.6
18,17,AP01MH0018,Bhairavanitippa,Andhra Pradesh Water Resources Department,"14° 32 ' 20""","76° 50 ' 16""",1961,Krishna,pedda hagari,Rayadurg,II,Earthfill_Embankment ,20,2235,0,59239000,15480000,57930000,I/S,3635
19,18,AP01HH0019,Buggavagu,Andhra Pradesh Water Resources Department,"16° 28 ' 48""","79° 31 ' 41""",1961,Krishna,Buggavagu,Guruzala,II,Earthfill_Embankment ,31,2576,1983000,98060000,12427000,49980000,I,567
20,19,AP01HH0020,Jalaput dam (S.H.E.S),Andhra Pradesh Water Resources Department,"18° 27 ' 9""","82° 32 ' 51""",1955,Godavari,Machkund,Visakhapatnam,II,Other,60.65,419,313000,970400000,97120000,892460000,I/H,5660
21,20,AP01MH0021,Arniar Project,Andhra Pradesh Water Resources Department,"13° 25 ' 22""","79° 44 ' 32""",1958,East flowing rivers between Pennar and Cauvery Basin,Araniar,Satyavedu,III,Earthfill_Embankment ,15,3600,0,52471116,14045000,49100000,I,863.67
22,21,AP01MH0022,Zurreru Project,Andhra Pradesh Water Resources Department,"15° 19 ' 38""","78° 7 ' 32""",1963,Pennar,Zurreru,Banaganpalli,II,Earthfill_Embankment ,16,677,199000,7340000,1462000,7056000,I,649
23,22,AP01HH0023,Guntavada Weir (S.H.E.S),Andhra Pradesh Water Resources Department,"18° 3 ' 33""","82° 2 ' 19""",1967,Godavari,Sileru,Chintpalle,II,Other,31,625,,122740000,,88220000,I,10933
24,23,AP01HH0024,Thatipudi,Andhra Pradesh Water Resources Department,"18° 10 ' 19""","83° 11 ' 40""",1968,East Flowing Rivers between Mahanadi and Godavari,Gosthani,Srungavarapukota,II,Earthfill_Embankment ,37,585,,94164000,,89910000,I,1513
25,24,AP01HH0025,Mid Pennar Stage-I,Andhra Pradesh Water Resources Department,"14° 52 ' 15""","77° 24 ' 30""",1968,Pennar,Pennar,Anantapur,II,Other,43,1175,398000,146398000,17108000,136906000,I,4543
26,25,AP01MH0026,Chennaraya Swami Gudi Project,Andhra Pradesh Water Resources Department,"13° 51 ' 42""","78° 10 ' 42""",1969,Pennar,Papagni,Kadiri,II,Earthfill_Embankment ,15,465,,4818000,1057000,4477000,I,897.64
27,26,AP01MH0027,Subba Reddy Sagar,Andhra Pradesh Water Resources Department,"17° 19 ' 53""","82° 12 ' 15""",1970,East Flowing Rivers between Mahanadi and Godavari,Kuntidevi Vagu,Gokavaram,II,Earthfill_Embankment ,17.5,442,,6626000,782860,5928640,I,542
28,27,AP01MH0028,Nagurur,Andhra Pradesh Water Resources Department,"15° 33 ' 4""","77° 17 ' 38""",1971,Krishna,Local Nala,Alur,II,Earthfill_Embankment ,28.05,800,,1140000,32580,1140000,I,
29,28,AP01MH0029,Pedderu Reservoir Project,Andhra Pradesh Water Resources Department,"13° 53 ' 2""","78° 22 ' 13""",1971,Pennar,Pedderu,Kottala,II,Earthfill_Embankment ,29.3,590,,15850000,200000,14980000,I,3171.45
